Date,Sales
2013-01-01,87.28456014362656
2013-01-02,6233.030493273543
2013-01-03,5693.1121076233185
2013-01-04,5954.218834080718
2013-01-05,5337.751569506727
2013-01-06,129.06188340807174
2013-01-07,9710.177578475337
2013-01-08,7847.02869955157
2013-01-09,6947.62600896861
2013-01-10,6952.004484304933
2013-01-11,7210.139910313901
2013-01-12,5396.852914798206
2013-01-13,129.19461883408073
2013-01-14,5279.630493273543
2013-01-15,4944.027802690583
2013-01-16,4747.103139013453
2013-01-17,4830.999103139014
2013-01-18,5504.044843049327
2013-01-19,5390.306726457399
2013-01-20,135.96412556053812
2013-01-21,7857.465470852018
2013-01-22,7462.142600896861
2013-01-23,6947.590134529148
2013-01-24,6672.49865470852
2013-01-25,6978.286098654708
2013-01-26,5245.533632286995
2013-01-27,128.11479820627804
2013-01-28,5272.3784753363225
2013-01-29,4890.285201793722
2013-01-30,5300.250224215247
2013-01-31,6339.521973094171
2013-02-01,6460.09596412556
2013-02-02,6082.278923766816
2013-02-03,153.86995515695068
2013-02-04,9267.848430493274
2013-02-05,7929.689686098654
2013-02-06,7259.913004484305
2013-02-07,6663.7452914798205
2013-02-08,7146.695964125561
2013-02-09,5525.577578475336
2013-02-10,154.76591928251122
2013-02-11,4948.035874439462
2013-02-12,4989.688789237668
2013-02-13,5538.248430493273
2013-02-14,5759.903139013453
2013-02-15,5609.913004484305
2013-02-16,5526.584753363229
2013-02-17,156.47264573991032
2013-02-18,9599.678026905829
2013-02-19,7164.728251121076
2013-02-20,6959.433183856502
2013-02-21,6826.798206278027
2013-02-22,7032.263677130045
2013-02-23,5056.452914798207
2013-02-24,142.65201793721974
2013-02-25,5036.201793721973
2013-02-26,5086.312107623318
2013-02-27,5388.791928251121
2013-02-28,6375.759641255605
2013-03-01,6497.068161434978
2013-03-02,6080.134529147982
2013-03-03,175.09327354260088
2013-03-04,9930.656502242153
2013-03-05,8021.108520179372
2013-03-06,7231.337219730942
2013-03-07,7158.574887892377
2013-03-08,7280.854708520179
2013-03-09,5436.217937219731
2013-03-10,147.90762331838565
2013-03-11,5555.639461883408
2013-03-12,4787.818834080717
2013-03-13,5229.360538116592
2013-03-14,5469.141704035875
2013-03-15,6083.720179372197
2013-03-16,5792.877130044843
2013-03-17,173.15874439461882
2013-03-18,9038.739910313901
2013-03-19,7648.692376681614
2013-03-20,6931.741704035874
2013-03-21,7082.5713004484305
2013-03-22,7395.508520179372
2013-03-23,5684.225112107623
2013-03-24,171.33273542600898
2013-03-25,9401.395515695067
2013-03-26,8345.744394618834
2013-03-27,8676.859192825112
2013-03-28,10240.347085201794
2013-03-29,191.85739910313902
2013-03-30,8412.916591928251
2013-03-31,158.22242152466367
2013-04-01,216.21165919282512
2013-04-02,6602.734529147982
2013-04-03,5745.687892376682
2013-04-04,5826.1094170403585
2013-04-05,5939.069058295964
2013-04-06,5534.577578475336
2013-04-07,169.59372197309418
2013-04-08,9072.288789237668
2013-04-09,7550.203587443946
2013-04-10,6904.734529147982
2013-04-11,6798.583856502242
2013-04-12,7225.42331838565
2013-04-13,5402.973094170404
2013-04-14,163.80358744394618
2013-04-15,5122.085201793722
2013-04-16,5083.871748878923
2013-04-17,4983.584753363229
2013-04-18,5135.634977578476
2013-04-19,5694.978475336323
2013-04-20,5386.678923766816
2013-04-21,168.97399103139014
2013-04-22,8557.847533632286
2013-04-23,7217.49865470852
2013-04-24,6437.4260089686095
2013-04-25,6386.965919282511
2013-04-26,6863.168609865471
